Marca temporal,Cuál es tu nivel de estudios,Qué ingeniería estudias/estudiaste,En qué universidad cursas/cursaste tu carrera de grado,Género,Trabajás en el rubro de la ingeniería que estudias/estudiaste,Tenés más de un trabajo,Cuál es tu situación particular de contratación,Es tu primer trabajo en el rubro,Tu empleador te paga el monotributo,Tu empleador respeta alguno de los siguientes derechos laborales,Cuántas horas trabajás por semana aproximadamente,Cuántos años de experiencia tenés en el rol (o en el rubro pero que sumen para tu rol),Tenés otras personas a cargo,Hacés home office,"Te dan alguno de estos ""beneficios""",Estás enmarcado/a en algún convenio,Te parece que la remuneración que recibís por tu trabajo es acorde a las horas que trabajás y las tareas que realizás,Cómo definís cuánto cobrás tus trabajos,Si podés definirlo: en promedio cuál es tu honorario por hora,Si querés dejanos algún comentario,Edad,¿tenés otros estudios relacionados con tu carrera,Ubicación de tu trabajo,Empleador,Remuneración mensual,Sector,Rol o área
2024-10-18 12:59:28.074,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Electrónica,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,20.0,1 o 2 años de experiencia,No,1 o 2 días por semana,"Notebook, Bonos por objetivos, Comedor/vianda/plus por comida, Viáticos, Indumentaria, Vacaciones adicionales, Flexibilidad horaria",No,Sí,,,"Yo estoy como pasante, asi que estaría bueno evaluar esa opción, si estás como contrato fijo/pasante/joven profesional ",25.0,,,Empresa Multinacional,600000.0,Automatización,
2024-10-18 12:59:31.219,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,54.0,6 a 10 años de experiencia,Más de 10,No,Celular,UECARA,No,,,,25.0,Cursos/Capacitaciones,,Consultora Nacional PyME,630000.0,"Desarrollos inmobiliarios: vivienda privada u oficinas, Industrias en general, no energética, Infraestructura de servicios, Infraestructura vial o ferroviaria",Asistente técnico de documentación o proyectos
2024-10-18 12:59:42.008,Estudiante cursada finalizada (sólo adeudo finales),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,50.0,1 o 2 años de experiencia,No,No,"Notebook, Viáticos",No,No,,,,26.0,,,Constructora Nacional Grande,980000.0,Infraestructura de servicios,"Dibujante, Computista o presupuestista, Administrativo/a de obra, Asistente técnico de documentación o proyectos, Planificación o gestión de proyectos"
2024-10-18 12:59:45.230,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,1 o 2 años de experiencia,No,1 o 2 días por semana,"Notebook, Celular, Día libre de cumpleaños, Comedor/vianda/plus por comida, Viáticos, Capacitaciones, Indumentaria",No,Sí,,,,26.0,Cursos/Capacitaciones,,Constructora Extranjera,1450000.0,Desarrollos inmobiliarios: vivienda privada u oficinas,"Analista de economía de obra, Administrativo/a de obra, Asistente técnico de documentación o proyectos, Planificación o gestión de proyectos"
2024-10-18 13:00:09.541,Estudiante (mayoritariamente 1er a 3er Nivel),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,3 a 5 años de experiencia,No,No,"Notebook, Celular, Día libre de cumpleaños, Capacitaciones",UECARA,No,,,,23.0,Cursos/Capacitaciones,,Desarrolladora ,964000.0,"Desarrollos inmobiliarios: vivienda privada u oficinas, Proyectos sociales: vivienda social, urbanización","Sobrestante, Jefe/a de obra o de sector, Computista o presupuestista"
2024-10-18 13:00:12.229,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UBA,Hombre,Empleado,No,Monotributista,Sí,"No. Lo pago yo, lo descuento de mi sueldo.","Vacaciones pagas, Días de vacaciones según antigüedad, Aguinaldo, Días de estudio pagos, Días por enfermedad pagos",30.0,No tengo experiencia o tengo menos de un año de experiencia,No,No,Viáticos,No,No,,,,29.0,,,Estado,780000.0,"Proyectos sociales: vivienda social, urbanización",Sobrestante
2024-10-18 13:00:27.672,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UBA,Mujer,Empleado,No,Relación de dependencia registrada,No,,,45.0,1 o 2 años de experiencia,No,1 o 2 días por semana,No,UECARA,No,,,,25.0,,,Constructora Nacional Grande,850000.0,"Infraestructura vial o ferroviaria, Infraestructura aeroportuaria","Administrativo/a de obra, Asistente técnico de documentación o proyectos"
2024-10-18 13:00:35.869,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,35.0,1 o 2 años de experiencia,No,No,Flexibilidad horaria,UOCRA,No,,,,26.0,Cursos/Capacitaciones,,Constructora Nacional PyME,900000.0,"Desarrollos inmobiliarios: vivienda privada u oficinas, Infraestructura de servicios","Proyectista termomecánico, Computista o presupuestista"
2024-10-18 13:00:40.212,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,40.0,1 o 2 años de experiencia,No,No,No,No,No,,,,26.0,,,Estado,470000.0,Infraestructura de servicios,"Proyectista de infraestructura hidráulica, Administrativo/a de obra"
2024-10-18 13:00:57.747,Graduado/a,Civil/Construcciones,UTN,Hombre,Empleado,No,Monotributista,Sí,Si,"Vacaciones pagas, Días de vacaciones según antigüedad, Aguinaldo, Días por enfermedad pagos",40.0,1 o 2 años de experiencia,No,1 o 2 días por semana,"Notebook, Celular, Día libre de cumpleaños, Viáticos, Indumentaria, Vacaciones adicionales, Flexibilidad horaria",No,Sí,,,,25.0,,,Consultora Nacional PyME,1400000.0,Desarrollos inmobiliarios: vivienda privada u oficinas,Proyectista estructural/Calculista
2024-10-18 13:01:03.219,Estudiante cursada finalizada (sólo adeudo finales),Civil/Construcciones,UTN,Hombre,Empleado,No,Monotributista,Sí,Si,"Vacaciones pagas, Días de vacaciones según antigüedad, Aguinaldo, Días de estudio pagos, Días por enfermedad pagos",40.0,6 a 10 años de experiencia,No,No,"Notebook, Celular, Viáticos, Flexibilidad horaria",UOCRA,Sí,,,,27.0,Tecnicatura,,Constructora Nacional PyME,1200000.0,Desarrollos inmobiliarios: vivienda privada u oficinas,"Jefe/a de obra o de sector, Computista o presupuestista, Administrativo/a de obra, Asistente técnico de documentación o proyectos, Planificación o gestión de proyectos, Mantenimiento"
2024-10-18 13:01:04.867,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Mujer,Empleado,No,Monotributista,Sí,Si,"Vacaciones pagas, Días de vacaciones según antigüedad, Aguinaldo, Días de estudio pagos, Días por enfermedad pagos",40.0,No tengo experiencia o tengo menos de un año de experiencia,No,1 o 2 días por semana,"Notebook, Celular, Día libre de cumpleaños, Viáticos, Capacitaciones, Flexibilidad horaria, padel",No,Sí,,,,25.0,,,Consultora Nacional PyME,1100000.0,Desarrollos inmobiliarios: vivienda privada u oficinas,"Proyectista estructural/Calculista, Dibujante"
2024-10-18 13:01:16.849,Estudiante cursada finalizada (sólo adeudo finales),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,3 a 5 años de experiencia,No,"Sí, casi siempre o siempre","Notebook, Día libre de cumpleaños, Capacitaciones",No,No,,,En la selección de la posición laboral pondría la opción otro para completar. Poner una fecha de referencia para el valor del sueldo neto serviría mucho.,28.0,Cursos/Capacitaciones,,Consultora Nacional Grande,1110000.0,"Infraestructura de servicios, Infraestructura vial o ferroviaria",Proyectista vial
2024-10-18 13:01:29.516,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UBA,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,3 a 5 años de experiencia,De 4 a 10,No,"Notebook, Comedor/vianda/plus por comida, Flexibilidad horaria",UECARA,No,,,,28.0,Tecnicatura,,Constructora Nacional PyME,1100000.0,"Infraestructura de servicios, Obras civiles en industrias","Jefe/a de obra o de sector, Asistente técnico de documentación o proyectos"
2024-10-18 13:01:32.604,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Textil,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,40.0,3 a 5 años de experiencia,No,1 o 2 días por semana,"Celular, Comedor/vianda/plus por comida",SETIA,No,,,,26.0,Cursos/Capacitaciones,,Empresa Multinacional,933257.0,Textil,Calidad
2024-10-18 13:01:32.679,Estudiante cursada finalizada (sólo adeudo finales),Civil/Construcciones,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,45.0,1 o 2 años de experiencia,No,No,"Comedor/vianda/plus por comida, Indumentaria",No,No,,,,32.0,,,Consultora Nacional PyME,1400000.0,Industria energética,Computista o presupuestista
2024-10-18 13:01:43.566,Estudiante cursada finalizada (sólo adeudo finales),Civil/Construcciones,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,40.0,3 a 5 años de experiencia,No,No,"Bonos por objetivos, Capacitaciones",No,Sí,,,,43.0,Cursos/Capacitaciones,,Consultora Nacional PyME,1800000.0,"Infraestructura de servicios, Infraestructura portuaria",Proyectista de infraestructura hidráulica
2024-10-18 13:01:44.850,Estudiante (mayoritariamente 1er a 3er Nivel),Civil/Construcciones,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,42.0,1 o 2 años de experiencia,No,3 o 4 días por semana,"Notebook, Celular, Día libre de cumpleaños, Viáticos",No,No,,,estaria bueno poder ver los resultados este mes ya que si van agregando sueldos de otros meses no se podria comparar correctamente :),22.0,Cursos/Capacitaciones,,Consultora Extranjera,650000.0,Infraestructura de servicios,Mantenimiento
2024-10-18 13:01:47.233,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,45.0,1 o 2 años de experiencia,No,No,"Celular, Día libre de cumpleaños, Comedor/vianda/plus por comida",UOM,Sí,,,,24.0,,,Consultora Nacional Grande,950000.0,Prestación de servicios ,Asistente técnico de documentación o proyectos
2024-10-18 13:01:54.582,Graduado/a,Civil/Construcciones,UTN,Hombre,Empleado,Sí,Relación de dependencia registrada,No,,,45.0,3 a 5 años de experiencia,No,No,"Indumentaria, Flexibilidad horaria",No,No,,,,25.0,Cursos/Capacitaciones,,Constructora Nacional Grande,1300000.0,Desarrollos inmobiliarios: vivienda privada u oficinas,Proyectista estructural/Calculista
2024-10-18 13:01:57.729,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UBA,Mujer,Empleado,No,Relación de dependencia registrada,No,,,40.0,1 o 2 años de experiencia,No,1 o 2 días por semana,No,No,Sí,,,,27.0,,,Consultora Nacional PyME,950000.0,"Industrias en general, no energética",Proyectista estructural/Calculista
2024-10-18 13:02:01.842,Estudiante (mayoritariamente 1er a 3er Nivel),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,45.0,1 o 2 años de experiencia,No,"Sí, casi siempre o siempre","Notebook, Celular, Viáticos, Capacitaciones, Flexibilidad horaria",UOCRA,No,,,,24.0,,,Contratista ,600000.0,Infraestructura fibra óptica ,"Sobrestante, Administrativo/a de obra, Planificación o gestión de proyectos"
2024-10-18 13:02:21.831,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,45.0,3 a 5 años de experiencia,No,"Sí, casi siempre o siempre",Flexibilidad horaria,No,No,,,,28.0,Cursos/Capacitaciones,,Consultora Nacional PyME,650000.0,Infraestructura aeroportuaria,Proyectista vial
2024-10-18 13:02:39.401,Estudiante (mayoritariamente 1er a 3er Nivel),Civil/Construcciones,UTN,Mujer,Empleado,No,Monotributista,Sí,Si,"Vacaciones pagas, Días de vacaciones según antigüedad, Aguinaldo, Días de estudio pagos, Días por enfermedad pagos, Bonos",40.0,1 o 2 años de experiencia,No,No,"Bonos por objetivos, Viáticos, 1 sueldo",No,Sí,,,,23.0,,,Constructora Nacional PyME,1070000.0,Desarrollos inmobiliarios: vivienda privada u oficinas,Computista o presupuestista
2024-10-18 13:02:45.202,Estudiante cursada finalizada (sólo adeudo finales),Civil/Construcciones,UTN,Mujer,Empleado,No,Relación de dependencia registrada,Sí,,,50.0,3 a 5 años de experiencia,No,1 o 2 días por semana,Notebook,UECARA,No,,,,28.0,,,Constructora Nacional Grande,920000.0,"Desarrollos inmobiliarios: vivienda privada u oficinas, Proyectos sociales: vivienda social, urbanización, Infraestructura de servicios, Infraestructura vial o ferroviaria","Jefe/a de obra o de sector, Computista o presupuestista"
2024-10-18 13:02:49.539,Graduado/a posgrado en curso,Civil/Construcciones,UTN,Hombre,Empleado,No,Monotributista,No,Si,"Vacaciones pagas, Días de vacaciones según antigüedad, Aguinaldo, Días de estudio pagos, Días por enfermedad pagos, Paga obra social, viático, movilidad",40.0,Más de 10 años de experiencia,Más de 10,1 o 2 días por semana,"Comedor/vianda/plus por comida, Viáticos, Indumentaria, Flexibilidad horaria",No,Sí,,,,34.0,Cursos/Capacitaciones,,Constructora Nacional PyME,2800000.0,Desarrollos inmobiliarios: vivienda privada u oficinas,"Jefe/a de obra o de sector, Planificación o gestión de proyectos"
2024-10-18 13:02:53.969,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Mujer,Empleado,No,Relación de dependencia registrada,Sí,,,45.0,1 o 2 años de experiencia,No,No,No,UECARA,No,,,,31.0,,,Consultora Nacional PyME,850000.0,Bancos,Computista o presupuestista
2024-10-18 13:02:55.507,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Hombre,Empleado,No,Monotributista,Sí,"No. Lo pago yo, lo descuento de mi sueldo.","Vacaciones pagas, Aguinaldo, Días de estudio pagos, Días por enfermedad pagos",40.0,1 o 2 años de experiencia,Más de 10,No,"Notebook, Celular, Indumentaria, Flexibilidad horaria",UECARA,Sí,,,,25.0,,,Constructora Nacional PyME,1100000.0,Desarrollos inmobiliarios: vivienda privada u oficinas,Jefe/a de obra o de sector
2024-10-18 13:02:56.988,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Textil,UTN,Mujer,Empleado,Sí,Relación de dependencia registrada,No,,,10.0,6 a 10 años de experiencia,De 1 a 3,1 o 2 días por semana,Notebook,No,No,,,,38.0,Cursos/Capacitaciones,,Empresa Multinacional,876000.0,Textil,Calidad
2024-10-18 13:03:11.932,Estudiante (mayoritariamente 1er a 3er Nivel),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,40.0,6 a 10 años de experiencia,De 1 a 3,No,"Día libre de cumpleaños, Comedor/vianda/plus por comida, Capacitaciones, Indumentaria, Flexibilidad horaria",UECARA,No,,,,30.0,"Tecnicatura, Cursos/Capacitaciones",,Constructora Nacional Grande,939145.0,Infraestructura de servicios,"Dibujante, Computista o presupuestista, Mantenimiento"
2024-10-18 13:03:46.535,Estudiante cursada finalizada (sólo adeudo finales),Civil/Construcciones,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,40.0,3 a 5 años de experiencia,No,No,Viáticos,No,Sí,,,,29.0,,,Constructora Nacional Grande,1500000.0,Infraestructura vial o ferroviaria,"Proyectista vial, Dibujante"
2024-10-18 13:03:58.525,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,3 a 5 años de experiencia,No,No,"Comedor/vianda/plus por comida, Viáticos",UECARA,Sí,,,,26.0,,,Constructora Nacional PyME,1500000.0,"Desarrollos inmobiliarios: vivienda privada u oficinas, Proyectos sociales: vivienda social, urbanización, Industria energética, Infraestructura de servicios, Infraestructura vial o ferroviaria, Infraestructura portuaria","Proyectista estructural/Calculista, Dibujante, Computista o presupuestista, Administrativo/a de obra, Asistente técnico de documentación o proyectos"
2024-10-18 13:03:59.474,Graduado/a,Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,1 o 2 años de experiencia,No,3 o 4 días por semana,"Notebook, Celular, Día libre de cumpleaños, Bonos por objetivos, Comedor/vianda/plus por comida, Capacitaciones, Indumentaria, Vacaciones adicionales, Flexibilidad horaria",No,Sí,,,,26.0,Cursos/Capacitaciones,,Empresa de servicios,1540000.0,Industria energética,Planificación o gestión de proyectos
2024-10-18 13:04:26.751,Graduado/a posgrado en curso,Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,44.0,1 o 2 años de experiencia,De 1 a 3,1 o 2 días por semana,"Notebook, Comedor/vianda/plus por comida",No,No,,,,26.0,Cursos/Capacitaciones,,Constructora Nacional PyME,1500000.0,"Industrias en general, no energética","Computista o presupuestista, Planificación o gestión de proyectos"
2024-10-18 13:04:52.244,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,34.0,3 a 5 años de experiencia,No,No,"Notebook, Comedor/vianda/plus por comida, Flexibilidad horaria",UECARA,No,,,,26.0,Cursos/Capacitaciones,,Constructora Nacional PyME,850000.0,"Desarrollos inmobiliarios: vivienda privada u oficinas, Industrias en general, no energética, Infraestructura de servicios","Dibujante, Jefe/a de obra o de sector, Planificación o gestión de proyectos"
2024-10-18 13:05:29.262,Graduado/a,Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,40.0,Más de 10 años de experiencia,De 4 a 10,No,"Comedor/vianda/plus por comida, Capacitaciones, Indumentaria",Estatal,No,,,,38.0,Cursos/Capacitaciones,,Estado,1000000.0,Investigación,Investigador/a
2024-10-18 13:06:06.957,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Industrial,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,45.0,1 o 2 años de experiencia,De 1 a 3,No,"Celular, Día libre de cumpleaños, Bonos por objetivos, Comedor/vianda/plus por comida, Capacitaciones, Indumentaria, Vacaciones adicionales",AOMA,Sí,,,,22.0,Cursos/Capacitaciones,,Empresa Multinacional,1800000.0,Automotriz,Producción
2024-10-18 13:07:16.276,Graduado/a posgrado en curso,Civil/Construcciones,UTN,Mujer,Empleado,Sí,Relación de dependencia registrada,Sí,,,40.0,6 a 10 años de experiencia,No,No,"Capacitaciones, Flexibilidad horaria",SINEP,No,,,,30.0,Cursos/Capacitaciones,,Estado,960000.0,"Infraestructura de servicios, Investigación",Investigador/a
2024-10-18 13:07:26.628,Estudiante cursada finalizada (sólo adeudo finales),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,35.0,6 a 10 años de experiencia,De 1 a 3,No,No,UECARA,No,,,,32.0,Cursos/Capacitaciones,,Constructora Nacional PyME,1050000.0,Desarrollos inmobiliarios: vivienda privada u oficinas,"Proyectista estructural/Calculista, Proyectista de instalaciones sanitarias o de gas, Computista o presupuestista, Asistente técnico de documentación o proyectos"
2024-10-18 13:07:35.976,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,40.0,3 a 5 años de experiencia,No,No,No,UOM,No,,,,27.0,Tecnicatura,,Constructora Nacional PyME,1300000.0,"Industrias en general, no energética","Computista o presupuestista, Asistente técnico de documentación o proyectos, Planificación o gestión de proyectos"
2024-10-18 13:07:45.526,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Sistemas/Informática,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,1 o 2 años de experiencia,No,3 o 4 días por semana,"Notebook, Día libre de cumpleaños, Capacitaciones, Flexibilidad horaria, Descuento en gimnasio",No,Sí,,,,24.0,Cursos/Capacitaciones,,Empresa Multinacional,1300000.0,"Big data, Base de datos",Analista de datos
2024-10-18 13:07:50.723,Estudiante (mayoritariamente 1er a 3er Nivel),Civil/Construcciones,UTN,Mujer,Freelance,Sí,,,,,20.0,1 o 2 años de experiencia,No,,,,,Cobro por hora de trabajo,7000.0,,28.0,,,,588000.0,Desarrollos inmobiliarios: vivienda privada u oficinas,Computista o presupuestista
2024-10-18 13:08:02.437,Estudiante cursada finalizada (sólo adeudo finales),Textil,UTN,Mujer,Empleado,Sí,Relación de dependencia registrada,No,,,35.0,6 a 10 años de experiencia,No,3 o 4 días por semana,"Notebook, Bonos por objetivos, Indumentaria, Flexibilidad horaria",No,No,,,,33.0,Cursos/Capacitaciones,,Empresa Nacional Grande,1200000.0,Textil ,Producción
2024-10-18 13:08:27.723,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,9.5,1 o 2 años de experiencia,No,No,Indumentaria,No,No,,,"Gracias por tomarse el laburo en hacer esto, espero que sigan aportando como siempre y no se desanimen. Muchos éxitos! ",29.0,,,Constructora Extranjera,982000.0,Infraestructura de servicios,Dibujante
2024-10-18 13:08:30.931,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Mujer,Empleado,No,Relación de dependencia registrada,No,,,8.0,3 a 5 años de experiencia,No,1 o 2 días por semana,"Notebook, Bonos por objetivos, Comedor/vianda/plus por comida, Capacitaciones, Vacaciones adicionales, Flexibilidad horaria",No,Sí,,,,38.0,Cursos/Capacitaciones,,Constructora Extranjera,2200000.0,Piping - Gasoductos,"Analista de economía de obra, Planificación o gestión de proyectos"
2024-10-18 13:09:24.231,Graduado/a posgrado en curso,Civil/Construcciones,UTN,Hombre,Empleado,No,Monotributista,Sí,Si,"Vacaciones pagas, Días de vacaciones según antigüedad, Aguinaldo, Días de estudio pagos, Días por enfermedad pagos",35.0,1 o 2 años de experiencia,No,3 o 4 días por semana,No,No,No,,,,26.0,,,Consultora Nacional PyME,600000.0,"Desarrollos inmobiliarios: vivienda privada u oficinas, Industrias en general, no energética",Proyectista estructural/Calculista
2024-10-18 13:09:48.227,Graduado/a,Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,No,,,40.0,1 o 2 años de experiencia,No,1 o 2 días por semana,"Notebook, Celular, Bonos por objetivos, Comedor/vianda/plus por comida, Capacitaciones, Indumentaria, Flexibilidad horaria",No,No,,,,27.0,,,Aeropuertos ,1350000.0,Infraestructura aeroportuaria,Proyectista vial
2024-10-18 13:09:59.293,Estudiante avanzado (mayoritariamente 4to a 6to Nivel),Civil/Construcciones,UTN,Hombre,Empleado,No,Relación de dependencia registrada,Sí,,,40.0,6 a 10 años de experiencia,De 1 a 3,No,"Capacitaciones, Vacaciones adicionales, Flexibilidad horaria",Estatal,No,,,,35.0,Cursos/Capacitaciones,,Estado,1100000.0,Infraestructura para laboratorios de investigacion cientifica,Administrativo/a de obra
